,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
1047,2011-022A,GSAT-8,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,,GEO,,1436.23,12.0,3093.0,1426,6250,Guiana Space Center,Ariane 5,2011,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1048,2014-043B,"GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254)",United States of America,Air Force Satellite Control Network,United States of America,Orbital Sciences Corp.,Military,Space Observation,Imaging,GEO,,1438.3,13.0,500.0,,,Cape Canaveral,Delta 4M,2014,7,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1049,2016-052A,"GSSAP 3 (Geosynchronous Space Situational Awareness Program, USA 270)",United States of America,Air Force Satellite Control Network,United States of America,Orbital ATK,Military,Space Observation,Imaging,GEO,,1436.02,13.0,500.0,,,Cape Canaveral,Delta 4M+,2016,8,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1050,2016-052B,"GSSAP 4 (Geosynchronous Space Situational Awareness Program, USA 271)",United States of America,Air Force Satellite Control Network,United States of America,Orbital ATK,Military,Space Observation,Imaging,GEO,,1438.54,13.0,500.0,,,Cape Canaveral,Delta 4M+,2016,8,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1051,2022-006A,"GSSAP 5 (Geosynchronous Space Situational Awareness Program, USA 324)",United States of America,Air Force Satellite Control Network,United States of America,Northrup Grumman,Military,Space Observation,Imaging,GEO,,1438.0,13.0,500.0,,,Cape Canaveral,Atlas 5,2022,1,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1052,2022-006B,"GSSAP 6 (Geosynchronous Space Situational Awareness Program, USA 325)",United States of America,Air Force Satellite Control Network,United States of America,Northrup Grumman,Military,Space Observation,Imaging,GEO,,1438.0,13.0,500.0,,,Cape Canaveral,Atlas 5,2022,1,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1097,2019-007A,Hellas-Sat 4/SGS-1 (Saudi Geostationary Satellite 1),Greece,Hellas-Sat Consortium Ltd.,United States of America,Lockheed Martin Missiles & Space,Multi Users,Communications,,GEO,,1436.1,15.0,6495.0,,,Guiana Space Center,Ariane 5,2019,2,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1103,2014-060A,Himawari 8,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Mitsubishi Electric,Government,Earth Observation,Meteorology,GEO,,1436.06,8.0,3500.0,1300,2600,Tanegashima Space Center,H2A,2014,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1104,2016-064A,Himawari 9,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Mitsubishi Electric,Government,Earth Observation,Meteorology,GEO,,1436.1,8.0,3500.0,1300,2600,Tanegashima Space Center,H2A,2016,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1108,2002-044A,Hispasat 1D,Spain,Hispasat,France,Alcatel Space Industries,Multi Users,Communications,,GEO,,1436.11,15.0,3288.0,1382,6200,Cape Canaveral,Atlas 2AS,2002,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1109,2010-070A,Hispasat 1E,Spain,Hispasat,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1435.95,15.0,5320.0,2175,14000,Guiana Space Center,Ariane 5,2010,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1110,2018-023A,Hispasat 30W-6 (Hispasat 1F),Spain,Hispasat,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.11,15.0,6100.0,,,Cape Canaveral,Falcon 9,2018,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1111,2017-006A,Hispasat 36W-1 (Hispasat AG1),Spain,Hispasat,Germany,OHB System-AG,Commercial,Communications,,GEO,,1436.1,15.0,3220.0,1700,6000,Guiana Space Center,Soyuz,2017,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1136,2010-065A,HYLAS 1 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",France,EADS Astrium,Commercial,Communications,,GEO,,1436.07,15.0,2242.0,,,Guiana Space Center,Ariane 5,2010,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1137,2012-043B,HYLAS 2 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.14,15.0,3311.0,1532,,Guiana Space Center,Ariane 5 ECA,2012,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1138,2018-033B,HYLAS 4 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.1,15.0,4050.0,,,Guiana Space Center,Ariane 5,2018,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1180,1996-070A,INMARSAT 3 F3,United Kingdom,"INMARSAT, Ltd.",United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.07,13.0,2074.0,860,,Cape Canaveral,Atlas,1996,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1181,1998-006B,INMARSAT 3 F5,United Kingdom,"INMARSAT, Ltd.",United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.07,13.0,2000.0,895,2800,Guiana Space Center,Ariane 44L,1998,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1186,2013-073A,INMARSAT 5 F1,United Kingdom,"INMARSAT, Ltd.",United States of America,Boeing Corp.,Commercial,Communications,,GEO,,1436.13,15.0,6070.0,3750,13000,Baikonur Cosmodrome,Proton M,2013,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1187,2015-005A,INMARSAT 5 F2,United Kingdom,"INMARSAT, Ltd.",United States of America,Boeing Corp.,Commercial,Communications,,GEO,,1436.0,15.0,6105.0,3360,13000,Baikonur Cosmodrome,Proton M,2015,2,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1188,2015-042A,INMARSAT 5 F3,United Kingdom,"INMARSAT, Ltd.",United States of America,Boeing Corp.,Commercial,Communications,,GEO,,1436.1,15.0,6100.0,,15000,Baikonur Cosmodrome,Proton M,2015,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1189,2017-025A,INMARSAT 5 F4,United Kingdom,"INMARSAT, Ltd.",United States of America,Boeing Corp.,Commercial,Communications,,GEO,,1436.08,15.0,6086.0,,,Cape Canaveral,Falcon 9,2017,5,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1190,2019-080B,INMARSAT 5 F5,United Kingdom,"INMARSAT, Ltd.",France,Thales Alenia Space,Commercial,Communications,,GEO,,1430.0,15.0,4007.0,,,Guiana Space Center,Ariane 5 ECA,2019,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1198,2013-038B,INSAT 3D (Indian National Satellite),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Earth Observation,Meteorology,GEO,,1436.09,13.0,2090.0,,,Guiana Space Center,Ariane 5 ECA,2013,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1199,2016-054A,INSAT 3DR (Indian National Satellite),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Earth Observation,Meteorology,GEO,,1436.1,10.0,2200.0,,,Satish Dhawan Space Centre,GSLV Mk.2,2016,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1203,2001-019A,Intelsat 10 (PAS-10),United States of America,PanAmSat (Intelsat S.A.),United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.08,15.0,3739.0,2510,9600,Baikonur Cosmodrome,Proton,2001,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1205,2007-044B,Intelsat 11 (PAS 11),United States of America,PanAmSat (Intelsat S.A.),United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.1,15.0,2491.0,,,Guiana Space Center,Ariane 5,2007,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1206,2000-068A,"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",United States of America,Intelsat S.A.,France,Alcatel Space Industries,Commercial,Communications,,GEO,,1436.09,18.0,4167.0,1729,12000,Guiana Space Center,Ariane 44LP,2000,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1207,2009-064A,Intelsat 14 (IS-14),United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.05,16.0,5613.0,2517,,Cape Canaveral,Atlas,2009,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1208,2009-067A,"Intelsat 15 (IS-15, JCSat 85)",United States of America,Intelsat S.A./Sky Perfect JSAT Corp.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.12,17.0,2550.0,,4600,Baikonur Cosmodrome,Zenit 3SLB,2009,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1209,2010-006A,Intelsat 16 (IS-16),United States of America,Intelsat S.A.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.19,15.0,2450.0,,4500,Baikonur Cosmodrome,Proton M,2010,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1210,2010-065B,Intelsat 17 (IS-17),United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.12,16.0,5540.0,2393,,Guiana Space Center,Ariane 5,2010,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1211,2011-056A,Intelsat 18 (IS-18),United States of America,Intelsat S.A.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.09,15.0,3200.0,,,Baikonur Cosmodrome,Zenit,2011,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1212,2012-030A,Intelsat 19 (IS-19),United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.01,15.0,5600.0,,15000,Sea Launch Odyssey,Zenit,2012,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1213,2000-072A,"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",United States of America,PanAmSat (Intelsat S.A.),United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.11,15.0,4793.0,3000,15000,Guiana Space Center,Ariane 5,2000,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1214,2012-043A,Intelsat 20 (IS-20),United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.03,18.0,6094.0,2989,19300,Guiana Space Center,Ariane 5 ECA,2012,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1215,2012-045A,Intelsat 21 (IS-21),United States of America,Intelsat S.A.,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.39,15.0,5984.0,3600,,Sea Launch Odyssey,Zenit 3SL,2012,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1216,2012-011A,Intelsat 22,United States of America,Intelsat S.A.,United States of America,Boeing Space & Intelligence Systems,Commercial,Communications,,GEO,,1436.11,18.0,6199.0,,,Baikonur Cosmodrome,Proton,2012,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1217,2012-057A,Intelsat 23,United States of America,Intelsat S.A.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.21,18.0,3200.0,1503,,Baikonur Cosmodrome,Proton M,2012,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1218,2008-034A,"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,16.0,4100.0,,11000,Guiana Space Center,Ariane 5 ECA,2008,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1219,2014-062A,Intelsat 30/DLA 1,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1435.97,15.0,6220.0,,,Guiana Space Center,Ariane 5 ECA,2014,10,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1220,2016-035A,Intelsat 31/DLA 2,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1435.1,20.0,6450.0,,,Baikonur Cosmodrome,Proton,2016,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1221,2016-053B,Intelsat 33 (IS-33),United States of America,Intelsat S.A.,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1439.36,15.0,6600.0,,,Guiana Space Center,Ariane 5,2016,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1222,2015-039A,Intelsat 34,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,3300.0,,,Guiana Space Center,Ariane 5,2015,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1223,2017-041A,Intelsat 35E,United States of America,Intelsat S.A.,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.09,15.0,6761.0,,,Cape Canaveral,Falcon 9,2017,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1224,2016-053A,Intelsat 36 (IS-36),United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,3250.0,,,Guiana Space Center,Ariane 5,2016,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1225,2017-059A,Intelsat 37E (IS-37E),United States of America,Intelsat S.A.,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.1,15.0,6438.0,,,Guiana Space Center,Ariane 5,2017,9,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1226,2019-049B,Intelsat 39,United States of America,Intelsat S.A.,United States of America,Maxar Technologies,Commercial,Communications,,GEO,,1436.08,15.0,6600.0,,,Guiana Space Center,Ariane 5,2019,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1227,2023-052A,Intelsat 40e,United States of America,Intelsat S.A.,United States of America,Maxar Technologies,Commercial,Communications,,GEO,,1436.0,15.0,6013.0,3000,,Cape Canaveral,Falcon 9,2023,4,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1228,1997-046A,"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",United States of America,Intelsat S.A.,United States of America,Hughes Space and Communications Co.,Commercial,Communications,,GEO,,1436.09,15.0,2730.0,2519,9700,Baikonur Cosmodrome,Proton K,1997,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1229,2000-043A,"Intelsat 9 (IS-9, PAS-9)",United States of America,PanAmSat (Intelsat S.A.),United States of America,Hughes Space and Communications Co.,Commercial,Communications,,GEO,,1436.14,15.0,3659.0,2389,9900,Sea Launch Odyssey,Zenit 3SL,2000,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1230,2001-024A,Intelsat 901,United States of America,Intelsat S.A.,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.12,13.0,4723.0,1972,10000,Cape Canaveral,Atlas 2AS,2001,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1231,2001-039A,Intelsat 902,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,13.0,4723.0,1972,8500,Guiana Space Center,Ariane 44L,2001,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1232,2002-007A,Intelsat 904,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.07,13.0,4680.0,2350,8500,Baikonur Cosmodrome,Proton K,2002,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1233,2002-027A,Intelsat 905,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.12,13.0,4723.0,1984,10000,Guiana Space Center,Ariane 44L,2002,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1234,2002-041A,Intelsat 906,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.07,13.0,4723.0,1955,7000,Guiana Space Center,Ariane 44L,2002,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1235,2011-016A,Intelsat New Dawn (Intelsat 28),United States of America,Intelsat S.A.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1439.15,15.0,3000.0,1283,4800,Guiana Space Center,Ariane 5,2011,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1316,2013-034A,IRNSS-1A (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1436.0,12.0,1425.0,614,1660,Satish Dhawan Space Centre,PSLV,2013,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1317,2014-017A,IRNSS-1B (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1436.14,12.0,1432.0,615,1660,Satish Dhawan Space Centre,PSLV,2014,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1318,2014-061A,IRNSS-1C (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1435.8,12.0,1425.0,598,1660,Satish Dhawan Space Centre,PSLV-XL,2014,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1319,2015-018A,IRNSS-1D (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1435.06,12.0,1425.0,598,1600,Satish Dhawan Space Centre,PSLV-C27,2015,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1320,2016-003A,IRNSS-1E (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,ISRO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1436.01,12.0,1425.0,598,1600,Satish Dhawan Space Centre,PSLV-XL,2016,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1321,2016-015A,IRNSS-1F (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,IRSO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1436.13,12.0,1425.0,598,1600,Satish Dhawan Space Centre,PSLV-XL,2016,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1322,2016-027A,IRNSS-1G (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,IRSO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1436.05,12.0,1425.0,598,1600,Satish Dhawan Space Centre,PSLV,2016,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1323,2018-035A,IRNSS-1I (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),India,IRSO Satellite Center,Government,Navigation/Regional Positioning,,GEO,,1436.1,10.0,1425.0,598,1600,Satish Dhawan Space Centre,PSLV,2018,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1333,2006-033A,"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Sky Perfect JSAT Corporation,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.1,15.0,4400.0,1858,,Guiana Space Center,Ariane 5,2006,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1334,2012-023A,JCSat 13 (Japan Communications Satellite 13),Japan,Sky Perfect JSAT Corporation,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.03,15.0,4500.0,,,Guiana Space Center,Ariane 5 ECA,2012,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1335,2016-028A,"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",Japan,Sky Perfect JSAT Corporation,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1441.5,15.0,4500.0,,,Cape Canaveral,Falcon 9,2016,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1336,2016-082A,JCSat 15,Japan,Sky Perfect JSAT Corporation,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1434.1,15.0,3400.0,,,Guiana Space Center,Ariane 5,2016,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1337,2016-050A,JCSat 16,Japan,Sky Perfect JSAT Corporation,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.01,15.0,4500.0,,,Cape Canaveral,Falcon 9,2016,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1338,2020-013A,JCSat 17,Japan,Sky Perfect JSAT Corporation,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.11,15.0,5857.0,,,Guiana Space Center,Ariane 5,2020,2,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1340,2002-015A,"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Sky Perfect JSAT Corporation,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.1,11.0,2500.0,1460,3500,Guiana Space Center,Ariane 44L,2002,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1341,2006-010A,"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,Sky Perfect JSAT Corporation,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.1,12.0,4400.0,,,Sea Launch Odyssey,Zenit 3SL,2006,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1342,2009-044A,"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Sky Perfect JSAT Corporation,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.12,15.0,4000.0,,,Guiana Space Center,Ariane 5,2009,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1422,2011-035B,KazSat-2,Kazakhstan,JSC KazSat,Russia,Khrunichev,Commercial,Communications,,GEO,,1436.13,12.0,1300.0,,,Baikonur Cosmodrome,Proton M,2011,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1423,2014-023B,KazSat-3,Kazakhstan,JSC KazSat,Italy,Thales Alenia Space,Commercial,Communications,,GEO,,1436.08,15.0,4083.0,,5500,Baikonur Cosmodrome,Proton M,2014,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1457,2017-005A,Kirameki 2 (DSN-2),Japan,Ministry of Defense,Japan,Mitsubishi Electric,Military,Communications,,GEO,,1436.1,15.0,4083.0,,,Tanegashima Space Center,H2A,2017,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1471,2010-070B,Koreasat 6 (Mugungwha 6),South Korea,KT Corporation,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.12,15.0,2850.0,1150,,Guiana Space Center,Ariane 5,2010,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1509,2015-067A,LaoSat-1,Laos,Laos National Authority for Science and Technology,China,China Academy of Space Technology (CAST),Government,Communications,,GEO,,1436.1,15.0,3800.0,,,Xichang Satellite Launch Center,Long March 3B,2015,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1515,2021-118B,LDPE-1 (LDPE (Long Duration Propulsive ESPA),United States of America,US Space Force,United States of America,Northrup Grumman,Military,Technology Development,,GEO,,1436.0,13.0,500.0,500,,Cape Canaveral,Atlas 5,2021,12,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1516,2023-008B,LDPE-3A (LDPE (Long Duration Propulsive ESPA),United States of America,US Space Force,United States of America,Northrup Grumman,Military,Technology Development,,GEO,,1431.0,13.0,500.0,500,,Cape Canaveral,Falcon Heavy,2023,1,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1675,2020-089A,"LUCAS (Laser Utilizing Communication System, JDRS-1)",Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Mitsubishi Electric,Government,Communications,,GEO,,1436.04,10.0,4083.0,,,Tanegashima Space Center,H2A,2020,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1677,2012-061A,Luch 5B,Russia,Russian Federal Space Agency,Russia,OAO ISS,Government,Communications,,GEO,,1436.09,13.0,1282.0,950,,Baikonur Cosmodrome,Proton M,2012,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1678,2023-031A,Luch 5kh-3 (Olymp-K 13),Russia,Federal Security Service (FSB),Russia,ISS Reshetnev,Government,Communications,,GEO,,1436.06,13.0,1930.0,1800,,Baikonur Cosmodrome,Proton,2023,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1679,2014-023A,Luch 5V,Russia,Russian Federal Space Agency,Russia,OAO Resetneva,Government,Communications,,GEO,,1435.99,10.0,1148.0,950,2200,Baikonur Cosmodrome,Proton M,2014,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1680,2014-058A,Luch/Olympus,Russia,Ministry of Defense,Russia,ISS Reshetnev,Military,Communications,,GEO,,1436.12,15.0,4083.0,,,Baikonur Cosmodrome,Proton M,2014,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1701,2009-032A,Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1434.6,15.0,2417.0,,,Baikonur Cosmodrome,Zenit 3SLB,2009,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1703,2022-067B,Measat 3D (Malaysia East Asia Sat 3D),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,France,Airbus,Commercial,Communications,,GEO,,1436.11,13.0,5648.0,,,Guiana Space Center,Ariane 5,2022,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1706,2018-064A,Merah Putih (Telkom 4),Indonesia,PT Telkomunikasi,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,16.0,5800.0,,,Cape Canaveral,Falcon 9,2018,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1707,1994-054A,"Mercury 1 (Advanced Vortex 1,  105)",United States of America,National Reconnaissance Office (NRO)/US Air Force,United States of America,Boeing Satellite Systems,Military,Earth Observation,Electronic Intelligence,GEO,,1436.13,13.0,8000.0,4000,,Cape Canaveral,Titan IVA,1994,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1708,1996-026A,"Mercury 2 (Advanced Vortex 2,  118)",United States of America,National Reconnaissance Office (NRO)/US Air Force,United States of America,Boeing Satellite Systems,Military,Earth Observation,Electronic Intelligence,GEO,,1436.12,13.0,8000.0,4000,,Cape Canaveral,Titan IVA,1996,4,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1709,2014-020A,"Mercury 3 (NROL 67,  250)",United States of America,National Reconnaissance Office (NRO)/US Air Force,United States of America,Unknown,Military,Earth Observation,Electronic Intelligence,GEO,,1436.0,13.0,3900.0,,,Cape Canaveral,Atlas 5,2014,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
